date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,
 2020-1-3,0,0,0,0,0,0,0,0,0
 2020-1-4,0,0,0,0,0,0,0,0,0
 2020-1-5,0,0,0,0,0,0,0,0,0
 2020-1-6,0,0,0,0,0,0,0,0,0
 2020-1-7,0,0,0,0,0,0,0,0,0
 2020-1-8,0,0,0,0,0,0,0,0,0
 2020-1-9,0,0,0,0,0,0,0,0,0
 2020-1-10,0,0,0,0,0,0,0,0,0
 2020-1-11,0,0,0,0,0,0,0,0,0
 2020-1-12,0,0,0,0,0,0,0,0,0
 2020-1-13,0,0,0,0,0,0,0,0,0
 2020-1-14,0,0,0,0,0,0,0,0,0
 2020-1-15,0,0,0,0,0,0,0,0,0
 2020-1-16,0,0,0,0,0,0,0,0,0
 2020-1-17,0,0,0,0,0,0,0,0,0
 2020-1-18,0,0,0,0,0,0,0,0,0
 2020-1-19,0,0,0,0,0,0,0,0,0
 2020-1-20,0,0,0,0,0,0,0,0,0
 2020-1-21,0,0,0,0,0,0,0,0,0
 2020-1-22,0,0,0,0,0,0,0,0,0
 2020-1-23,0,0,0,0,0,0,0,0,0
 2020-1-24,0,0,0,0,0,0,0,0,0
 2020-1-25,0,0,0,0,0,0,0,0,0
 2020-1-26,0,0,0,0,0,0,0,0,0
 2020-1-27,0,0,0,0,0,0,0,0,0
 2020-1-28,0,0,0,0,0,0,0,0,0
 2020-1-29,0,0,0,0,0,0,0,0,0
 2020-1-30,0,0,0,0,0,0,0,0,0
 2020-1-31,0,0,0,0,0,0,0,0,0
 2020-2-1,0,0,0,0,0,0,0,0,0
 2020-2-2,0,0,0,0,0,0,0,0,0
 2020-2-3,0,0,0,0,0,0,0,0,0
 2020-2-4,0,0,0,0,0,0,0,0,0
 2020-2-5,0,0,0,0,0,0,0,0,0
 2020-2-6,0,0,0,0,0,0,0,0,0
 2020-2-7,0,0,0,0,0,0,0,0,0
 2020-2-8,0,0,0,0,0,0,0,0,0
 2020-2-9,0,0,0,0,0,0,0,0,0
 2020-2-10,0,0,0,0,0,0,0,0,0
 2020-2-11,0,0,0,0,0,0,0,0,0
 2020-2-12,0,0,0,0,0,0,0,0,0
 2020-2-13,0,0,0,0,0,0,0,0,0
 2020-2-14,0,0,0,0,0,0,0,0,0
 2020-2-15,0,0,0,0,0,0,0,0,0
 2020-2-16,0,0,0,0,0,0,0,0,0
 2020-2-17,0,0,0,0,0,0,0,0,0
 2020-2-18,0,0,0,0,0,0,0,0,0
 2020-2-19,0,0,0,0,0,0,0,0,0
 2020-2-20,0,0,0,0,0,0,0,0,0
 2020-2-21,0,0,0,0,0,0,0,0,0
 2020-2-22,0,0,0,0,0,0,0,0,0
 2020-2-23,0,0,0,0,0,0,0,0,0
 2020-2-24,0,0,0,0,0,0,0,0,0
 2020-2-25,0,0,0,0,0,0,0,0,0
 2020-2-26,0,0,0,0,0,0,0,0,0
 2020-2-27,0,0,0,0,0,0,0,0,0
 2020-2-28,0,0,0,0,0,0,0,0,0
 2020-2-29,0,0,0,0,0,0,0,0,0
 2020-3-1,0,0,0,0,0,0,0,0,0
 2020-3-2,0,0,0,0,0,0,0,0,0
 2020-3-3,0,0,0,0,0,0,0,0,0
 2020-3-4,0,0,0,0,0,0,0,0,0
 2020-3-5,0,0,0,0,0,0,0,0,0
 2020-3-6,1,1,0,0,0.017,0,0,0,1
 2020-3-7,1,0,0,0,0,0,0,0,1
 2020-3-8,2,1,0,0,0.017,0,0,0,1
 2020-3-9,3,1,0,0,0.017,0,0,0,0
 2020-3-10,7,4,0,0,0.067,0,0,0,1
 2020-3-11,7,0,0,0,0,0,0,0,1
 2020-3-12,13,6,0,0,0.1,0,0,0,1
 2020-3-13,16,3,0,0,0.05,0,0,0,1
 2020-3-14,24,8,0,0,0.134,0,0,0,1
 2020-3-15,38,14,0,0,0.234,0,0,0,1
 2020-3-16,51,13,0,0,0.217,0,0,0,1
 2020-3-17,62,11,0,0,0.184,0,0,0,1
 2020-3-18,85,23,0,0,0.384,0,0,0,1
 2020-3-19,116,31,0,0,0.518,0,0,0,1
 2020-3-20,150,34,0,0,0.568,0,0,0,1
 2020-3-21,202,52,0,0,0.868,0,0,0,1
 2020-3-22,240,38,0,0,0.634,0,0,0,1
 2020-3-23,274,34,0,0,0.568,0,0,0,1
 2020-3-24,402,128,0,0,2.137,0,0,0,1
 2020-3-25,554,152,0,0,2.538,0,0,0,1
 2020-3-26,707,153,0,0,2.555,0,0,0,1
 2020-3-27,926,219,0,0,3.656,0,0,0,1
 2020-3-28,1170,244,1,1,4.074,0.017,0,0,1
 2020-3-29,1187,17,1,0,0.284,0,0,0,1
 2020-3-30,1280,93,2,1,1.553,0.017,0,0,1
 2020-3-31,1326,46,2,0,0.768,0,0,0,1
 2020-4-1,1353,27,5,3,0.451,0.05,0,0,1
 2020-4-2,1380,27,5,0,0.451,0,0,0,0
 2020-4-3,1462,82,5,0,1.369,0,0,0,1
 2020-4-4,1505,43,7,2,0.718,0.033,0,0,1
 2020-4-5,1585,80,9,2,1.336,0.033,0,0,1
 2020-4-6,1655,70,11,2,1.169,0.033,0,0,1
 2020-4-7,1686,31,12,1,0.518,0.017,0,0,1
 2020-4-8,1749,63,13,1,1.052,0.017,0,0,1
 2020-4-9,1845,96,18,5,1.603,0.083,0,0,1
 2020-4-10,1934,89,19,1,1.486,0.017,0,0,1
 2020-4-11,2003,69,27,8,1.152,0.134,0,0,1
 2020-4-12,2028,25,28,1,0.417,0.017,0,0,1
 2020-4-13,2173,145,29,1,2.421,0.017,0,0,1
 2020-4-14,2272,99,34,5,1.653,0.083,0,0,1
 2020-4-15,2415,143,34,0,2.388,0,0,0,1
 2020-4-16,2506,91,34,0,1.519,0,0,0,1
 2020-4-17,2605,99,48,14,1.653,0.234,0,0,1
 2020-4-18,2783,178,50,2,2.972,0.033,0,0,1
 2020-4-19,3034,251,52,2,4.191,0.033,0,0,1
 2020-4-20,3158,124,54,2,2.07,0.033,0,0,1
 2020-4-21,3300,142,58,4,2.371,0.067,0,0,1
 2020-4-22,3465,165,58,0,2.755,0,0,0,1
 2020-4-23,3635,170,65,7,2.838,0.117,0,0,1
 2020-4-24,3953,318,75,10,5.309,0.167,0,0,1
 2020-4-25,4220,267,79,4,4.458,0.067,0,0,1
 2020-4-26,4361,141,86,7,2.354,0.117,0,0,1
 2020-4-27,4546,185,87,1,3.089,0.017,0,0,1
 2020-4-28,4793,247,90,3,4.124,0.05,0,0,1
 2020-4-29,4996,203,93,3,3.389,0.05,0,0,1
 2020-4-30,5350,354,103,10,5.91,0.167,0,0,1
 2020-5-1,5647,297,103,0,4.959,0,0,0,1
 2020-5-2,5951,304,116,13,5.076,0.217,0,0,1
 2020-5-3,6336,385,123,7,6.428,0.117,0,0,1
 2020-5-4,6783,447,131,8,7.463,0.134,0,0,1
 2020-5-5,7220,437,138,7,7.296,0.117,0,0,1
 2020-5-6,7572,352,148,10,5.877,0.167,0,0,1
 2020-5-7,7808,236,153,5,3.94,0.083,0,0,1
 2020-5-8,8232,424,161,8,7.079,0.134,0,0,1
 2020-5-9,8895,663,178,17,11.07,0.284,0,0,1
 2020-5-10,9420,525,186,8,8.766,0.134,0,0,1
 2020-5-11,10015,595,194,8,9.934,0.134,0,0,1
 2020-5-12,10652,637,206,12,10.635,0.2,0,0,1
 2020-5-13,11350,698,206,0,11.654,0,0,0,1
 2020-5-14,12074,724,219,13,12.088,0.217,0,0,1
 2020-5-15,12739,665,238,19,11.103,0.317,0,0,1
 2020-5-16,13524,785,247,9,13.107,0.15,0,0,1
 2020-5-17,14355,831,261,14,13.875,0.234,0,0,1
 2020-5-18,15515,1160,264,3,19.368,0.05,0,0,1
 2020-5-19,16433,918,286,22,15.327,0.367,0,0,1
 2020-5-20,17200,767,312,26,12.806,0.434,0,0,1
 2020-5-21,18003,803,339,27,13.407,0.451,0,0,1
 2020-5-22,19137,1134,369,30,18.933,0.501,0,0,1
 2020-5-23,20125,988,397,28,16.496,0.467,0,0,1
 2020-5-24,21343,1218,407,10,20.336,0.167,0,0,1
 2020-5-25,22583,1240,429,22,20.703,0.367,0,0,1
 2020-5-26,23615,1032,481,52,17.23,0.868,0,0,1
 2020-5-27,24264,649,524,43,10.836,0.718,0,0,1
 2020-5-28,25937,1673,552,28,27.933,0.467,0,0,1
 2020-5-29,27403,1466,577,25,24.477,0.417,0,0,1
 2020-5-30,29240,1837,611,34,30.671,0.568,0,0,1
 2020-5-31,30967,1727,643,32,28.834,0.534,0,0,1
 2020-6-1,32683,1716,683,40,28.651,0.668,0,0,1
 2020-6-2,34357,1674,820,137,27.949,2.287,0,0,1
 2020-6-3,35812,1455,973,153,24.293,2.555,0,0,1
 2020-6-4,37525,1713,1085,112,28.601,1.87,0,0,1
 2020-6-5,40792,3267,1288,203,54.546,3.389,0,0,1
 2020-6-6,43434,2642,1461,173,44.111,2.888,0,0,1
 2020-6-7,45973,2539,1655,194,42.392,3.239,0,0,1
 2020-6-8,48285,2312,1757,102,38.602,1.703,0,0,1
 2020-6-9,50879,2594,1872,115,43.31,1.92,0,0,1
